City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Georgetown,MY,5.4112,100.3354,85.95,77,20,3.44,few clouds
79,Tuatapere,NZ,-46.1333,167.6833,46.78,90,100,4.47,overcast clouds
80,Hasaki,JP,35.7333,140.8333,77.4,79,0,12.5,clear sky
81,Iqaluit,CA,63.7506,-68.5145,44.33,93,90,3.44,mist
82,Buchanan,LR,5.8808,-10.0467,85.96,69,90,9.22,overcast clouds
83,Hilo,US,19.7297,-155.09,74.8,97,90,5.75,moderate rain
84,Synya,RU,65.3718,58.0387,48.61,95,100,8.84,overcast clouds
85,Atbasar,KZ,51.8,68.3333,68.61,52,4,9.64,clear sky
86,Salto,UY,-31.3833,-57.9667,73.56,69,1,11.01,clear sky
87,Mehamn,NO,71.0357,27.8492,48.15,76,75,19.57,broken clouds
88,Palmer,US,42.1584,-72.3287,69.46,84,90,7.0,light rain
89,Vanavara,RU,60.34,102.2797,66.22,67,28,4.38,scattered clouds
90,Kabompo,ZM,-13.5927,24.2008,71.02,24,0,8.93,clear sky
91,Cafarnaum,BR,-11.6936,-41.4683,74.59,49,76,12.08,broken clouds
92,Port Elizabeth,ZA,-33.918,25.5701,66.49,37,0,2.3,clear sky
93,Lebu,CL,-37.6167,-73.65,50.52,92,95,6.67,overcast clouds
94,Nhulunbuy,AU,-12.2333,136.7667,72.21,83,67,4.61,broken clouds
95,Yauya,PE,-8.9833,-77.3,57.09,39,6,4.45,clear sky
96,Albany,US,42.6001,-73.9662,73.98,84,97,5.41,overcast clouds
97,Hamilton,US,39.1834,-84.5333,87.08,77,1,1.01,clear sky
98,Kaeo,NZ,-35.1,173.7833,59.32,96,100,9.13,light rain
99,Provideniya,RU,64.3833,-173.3,46.69,99,100,7.27,light rain
100,Tiksi,RU,71.6872,128.8694,46.74,79,79,5.99,broken clouds
101,Meulaboh,ID,4.1363,96.1285,79.27,84,97,2.24,overcast clouds
102,Garowe,SO,8.4054,48.4845,81.05,40,89,25.14,overcast clouds
103,Bethel,US,41.3712,-73.414,73.94,89,90,1.01,overcast clouds
104,Port Lincoln,AU,-34.7333,135.8667,55.33,86,16,17.18,few clouds
105,Coihaique,CL,-45.5752,-72.0662,42.75,52,40,6.91,scattered clouds
106,Vostok,RU,46.4856,135.8833,66.2,92,84,4.32,broken clouds
107,Alcaniz,ES,41.05,-0.1333,79.43,29,82,5.5,broken clouds
108,Darnetal,FR,49.4453,1.1514,72.52,74,75,1.01,broken clouds
109,Lompoc,US,34.6391,-120.4579,61.92,86,90,0.0,overcast clouds
110,Puerto Ayora,EC,-0.7393,-90.3518,76.96,85,38,8.99,scattered clouds
111,Hermanus,ZA,-34.4187,19.2345,60.22,56,100,5.08,overcast clouds
112,Vestmanna,FO,62.1564,-7.1664,52.72,100,90,5.75,overcast clouds
113,Richards Bay,ZA,-28.783,32.0377,61.66,68,4,9.84,clear sky
114,Cuamba,MZ,-14.8031,36.5372,63.21,61,46,9.71,scattered clouds
115,Zhuhai,CN,22.2769,113.5678,87.06,79,20,13.8,few clouds
116,Yerbogachen,RU,61.2767,108.0108,64.02,64,8,1.97,clear sky
117,San Fernando,PH,15.0286,120.6898,82.49,87,100,9.95,light rain
118,Pangnirtung,CA,66.1451,-65.7125,50.14,92,100,6.93,moderate rain
119,Qaanaaq,GL,77.484,-69.3632,39.18,71,85,6.26,overcast clouds
120,Yarmouth,US,41.7057,-70.2286,72.01,86,100,5.99,light rain
121,Khatanga,RU,71.9667,102.5,55.74,71,45,6.96,scattered clouds
122,Ketchikan,US,55.3422,-131.6461,54.07,94,90,3.44,light rain
123,Kapaa,US,22.0752,-159.319,79.12,84,90,1.01,light rain
124,Tuyom,PH,9.9769,122.5582,80.53,85,20,7.61,few clouds
125,Bonavista,CA,48.6499,-53.1147,64.4,83,53,2.57,broken clouds
126,Kem,RU,64.9555,34.5793,57.94,58,84,5.37,broken clouds
127,Gold Coast,AU,-28.0,153.4333,51.01,71,6,2.3,clear sky
128,Krasnyy Chikoy,RU,50.3643,108.7512,56.12,76,31,3.22,scattered clouds
129,Barrow,US,71.2906,-156.7887,39.22,93,90,10.36,overcast clouds
130,Port Alfred,ZA,-33.5906,26.891,62.13,51,28,10.38,scattered clouds
131,Praxedis Guerrero,MX,31.3667,-106.0167,81.28,51,48,1.03,scattered clouds
132,Novaya Ladoga,RU,60.1025,32.3019,72.0,60,55,5.39,broken clouds
133,Komsomolskiy,UZ,40.4272,71.7189,95.72,26,0,0.0,clear sky
134,San Cristobal,VE,7.7669,-72.225,68.18,76,100,4.41,overcast clouds
135,Maua,BR,-23.6678,-46.4614,80.08,31,0,5.41,clear sky
136,Airai,TL,-8.9266,125.4092,55.35,59,34,3.18,scattered clouds
137,Anadyr,RU,64.75,177.4833,52.3,100,90,4.0,fog
138,Narsaq,GL,60.9167,-46.05,53.82,44,100,4.07,overcast clouds
139,Kirakira,SB,-10.4544,161.9205,77.99,85,65,8.39,light rain
140,Nome,US,64.5011,-165.4064,48.27,82,90,9.22,overcast clouds
141,Cockburn Town,TC,21.4612,-71.1419,82.17,81,6,12.77,clear sky
142,Jumla,NP,29.2747,82.1838,66.02,99,100,2.75,moderate rain
143,Micheweni,TZ,-4.9667,39.8333,75.0,67,2,20.07,clear sky
144,Sabang,ID,5.8933,95.3214,83.59,77,98,12.1,overcast clouds
145,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,65.79,79,89,10.07,moderate rain
146,Tautira,PF,-17.7333,-149.15,69.82,68,3,9.89,clear sky
147,Aklavik,CA,68.2191,-135.0107,54.32,82,75,9.22,broken clouds
148,Miyako,JP,39.6367,141.9525,70.39,93,44,2.48,scattered clouds
149,Ponta Do Sol,PT,32.6667,-17.1,81.72,71,3,4.09,clear sky
150,Pathardi,IN,19.1667,75.1833,75.54,82,100,15.19,overcast clouds
151,Yura,PE,-16.2522,-71.6797,64.92,13,20,3.44,few clouds
152,Yar-Sale,RU,66.8333,70.8333,52.47,72,56,16.67,broken clouds
153,Faanui,PF,-16.4833,-151.75,77.77,65,3,12.41,clear sky
154,Krasnoarmeysk,RU,51.0239,45.6969,70.07,49,67,7.83,broken clouds
155,Bathsheba,BB,13.2167,-59.5167,86.61,79,75,13.8,broken clouds
156,Katsuura,JP,35.1333,140.3,81.1,86,7,10.69,clear sky
157,Prainha,BR,-1.8,-53.48,90.21,42,95,4.72,overcast clouds
158,Matara,LK,5.9485,80.5353,78.24,87,61,9.98,broken clouds
159,Broome,US,42.2506,-75.833,80.46,81,90,1.01,overcast clouds
160,Kodiak,US,57.79,-152.4072,49.51,87,40,0.0,scattered clouds
161,Padang,ID,-0.9492,100.3543,77.05,85,28,4.16,scattered clouds
162,Aksarka,RU,66.5606,67.7975,52.3,67,28,14.85,scattered clouds
163,Meadow Lake,US,34.8014,-106.5436,79.48,58,68,1.83,broken clouds
164,Altamira,BR,-3.2033,-52.2064,89.69,48,0,5.75,clear sky
165,Adrar,MR,20.5022,-10.0711,111.65,7,37,7.87,scattered clouds
166,Yellowknife,CA,62.456,-114.3525,60.33,58,20,1.01,few clouds
167,Marzuq,YE,14.4,46.4667,74.59,73,26,11.23,scattered clouds
168,Nioro,GM,13.35,-15.75,87.64,55,100,7.76,overcast clouds
169,Kununurra,AU,-15.7667,128.7333,64.38,72,28,3.44,scattered clouds
170,Marystown,CA,47.1666,-55.1483,60.35,76,72,5.59,broken clouds
171,Brae,GB,60.3964,-1.353,60.71,71,72,4.07,broken clouds
172,Bressuire,FR,46.9167,-0.5,76.87,45,85,13.71,overcast clouds
173,Antsohihy,MG,-14.8796,47.9875,75.85,49,72,13.35,broken clouds
174,Arco,IT,45.9177,10.8867,87.55,68,70,2.55,heavy intensity rain
175,Itacoatiara,BR,-3.1431,-58.4442,93.04,38,65,4.56,broken clouds
