City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
423,Ruidoso,US,71.89,broken clouds,33.3317,-105.673,Inn of the Mountain Gods
424,Javanrud,IR,87.62,clear sky,34.7961,46.5172,Bonnie power
425,Warrington,GB,78.13,few clouds,53.3925,-2.5802,Patten Arms Hotel
426,Hirara,JP,83.61,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
428,Ewa Beach,US,77.99,overcast clouds,21.3156,-158.0072,Uncle Junior Robert
430,Kitgum,UG,73.09,overcast clouds,3.2783,32.8867,Jaflo Gardens Hotel
431,Sumenep,ID,78.62,few clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
432,Angren,UZ,87.1,clear sky,41.0167,70.1436,Xusan Aka
434,Vila Velha,BR,76.96,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
435,Puerto Del Rosario,ES,80.28,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
437,Ponta Delgada,PT,75.92,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
440,Leiva,CO,72.18,light rain,1.9339,-77.3025,HOTEL LEIVA
441,Koupela,BF,88.56,overcast clouds,12.1794,-0.3517,AUBERGE MAQUIS RESTO CAFE LE ROUTIER PLUS
442,Forestville,US,87.44,clear sky,38.8451,-76.875,Quality Inn Near Joint Base Andrews-Washington Area
445,Makat,KZ,89.08,clear sky,47.6469,53.3463,Umit
447,Lufilufi,WS,74.98,scattered clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
448,Mlandizi,TZ,80.85,clear sky,-6.7,38.7333,Amazon Lodge..
449,Naze,JP,78.06,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
450,Veraval,IN,79.84,moderate rain,20.9,70.3667,Lords Inn Somnath
451,Pirassununga,BR,76.66,clear sky,-21.9961,-47.4258,Hotel Premium Pirassununga
453,Kamaishi,JP,71.56,broken clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
455,Nakhon Phanom,TH,74.77,light rain,17.3333,104.4167,ป่ายางรีสอร์ท
456,Itarema,BR,89.58,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
458,Thunder Bay,CA,82.56,few clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
459,Acajutla,SV,84.79,overcast clouds,13.5928,-89.8275,asi es
460,Key West,US,82.99,overcast clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
461,Amapa,BR,86.23,scattered clouds,1.0,-52.0,
463,Qandala,SO,87.48,scattered clouds,11.472,49.8728,
466,Vanimo,PG,74.8,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
468,Lingyuan,CN,71.17,light rain,41.24,119.4011,Guomao Hotel
469,Bridlington,GB,71.15,broken clouds,54.0831,-0.1919,Expanse Bridlington Seafront Hotel
470,Vihti,FI,79.34,overcast clouds,60.417,24.3197,Green suite (two rooms + balcony)
472,Northam,GB,75.2,overcast clouds,51.0333,-4.2167,Durrant House Hotel
474,Contai,IN,85.33,overcast clouds,21.7786,87.7536,PATHFINDER
477,Havre-Saint-Pierre,CA,70.16,clear sky,50.2334,-63.5986,Auberge Niapiskau
479,Skrunda,LV,80.26,scattered clouds,56.6833,22.0167,Skrunda Manor
480,Hays,US,89.28,clear sky,30.0502,-98.0336,Sinya on Lone Man Creek
481,Chauk,MM,84.29,overcast clouds,20.8833,94.8167,Bo Khin Guest House
482,Kerrville,US,86.54,clear sky,30.0474,-99.1403,Inn Of The Hills Hotel & Conference Center
484,Serebryansk,KZ,71.15,scattered clouds,49.6925,83.2892,"Gostinitsa ""Vodoley"""
485,Lorengau,PG,78.98,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
487,Roald,NO,79.16,fog,62.5833,6.1333,Flem Cabins
488,Malanje,AO,83.98,clear sky,-9.5402,16.341,Malanje Hotel
489,Bentong,MY,81.45,broken clouds,3.5181,101.9079,Tras Mutiara Hotel Bentong
490,Zorritos,PE,75.49,broken clouds,-3.6805,-80.6782,COSTA AZUL ZORRITOS MANGO
492,Yarmouth,US,72.01,overcast clouds,41.7057,-70.2286,Blue Rock Resort
493,Debica,PL,73.72,overcast clouds,50.0515,21.4114,Hotel Lord
494,Campbellsville,US,88.68,broken clouds,37.3434,-85.3419,"Holiday Inn Express Campbellsville, an IHG Hotel"
495,Banda Aceh,ID,80.92,overcast clouds,5.5577,95.3222,Sulthan Hotel International
496,Padang,ID,77.05,scattered clouds,-0.9492,100.3543,Mercure Padang
497,Tongliao,CN,72.18,heavy intensity rain,43.6125,122.2653,Meirujia Hotel
502,Cap Malheureux,MU,72.09,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
504,Macedo De Cavaleiros,PT,79.29,scattered clouds,41.5382,-6.9611,Casa das Argolas
507,Nishihara,JP,80.26,broken clouds,26.1842,127.7558,Minshuku Agaihama
508,Port Blair,IN,82.17,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
509,Bantou,CN,75.18,overcast clouds,26.2151,117.4893,
510,Guerrero Negro,MX,72.14,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
511,Gimli,CA,80.44,few clouds,50.6336,-96.9907,Lakeview Gimli Resort
512,Bombay,IN,84.18,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar
514,Mastung,PK,88.36,clear sky,29.7994,66.845,Al Hasnan Cold Drink Santer
515,Jibuti,DJ,82.69,broken clouds,11.5,42.5,Orchid Main Camp Goubet
516,Manavalakurichi,IN,82.49,overcast clouds,8.1333,77.3,Udaya Boys Hostel
517,Ahuimanu,US,77.76,mist,21.4447,-157.8378,Paradise Bay Resort
526,Altamira,BR,89.69,clear sky,-3.2033,-52.2064,Requinte Hotel
527,Banfora,BF,86.18,overcast clouds,10.6333,-4.7667,Residences David Hebié
529,Wad Madani,SD,83.32,overcast clouds,14.4012,33.5199,فندق يوغسلافيا
